rep_name,channel,occurences
"Derrick Boggess",adwords,20
"Elwood Shutt",organic,20
"Dawna Agnew",facebook,20
"Elba Felder",organic,19
"Sibyl Lauria",twitter,19
"Gianna Dossey",organic,19
"Eugena Esser",organic,19
"Tia Amato",twitter,19
"Julia Behrman",adwords,19
"Dawna Agnew",organic,19
"Eugena Esser",facebook,18
"Elba Felder",facebook,18
"Charles Bidwell",adwords,18
"Moon Torian",twitter,18
"Moon Torian",banner,18
"Saran Ram",banner,18
"Nelle Meaux",banner,18
"Georgianna Chisholm",facebook,18
"Micha Woodford",twitter,18
"Elba Felder",adwords,17
"Necole Victory",facebook,17
"Tia Amato",banner,17
"Charles Bidwell",organic,17
"Maren Musto",banner,17
"Saran Ram",twitter,17
"Arica Stoltzfus",banner,17
"Elwood Shutt",facebook,17
"Michel Averette",banner,16
"Charles Bidwell",banner,16
"Dorotha Seawell",banner,16
"Vernita Plump",twitter,16
"Maryanna Fiorentino",twitter,16
"Eugena Esser",adwords,15
"Ayesha Monica",facebook,15
"Akilah Drinkard",organic,15
"Charles Bidwell",twitter,15
"Derrick Boggess",facebook,15
"Vernita Plump",banner,15
"Marquetta Laycock",organic,15
"Maryanna Fiorentino",banner,15
"Renetta Carew",facebook,14
"Ernestine Pickron",organic,14
"Elna Condello",banner,14
"Ernestine Pickron",facebook,14
"Debroah Wardle",adwords,14
"Debroah Wardle",organic,14
"Carletta Kosinski",organic,14
"Dorotha Seawell",twitter,14
"Brandie Riva",twitter,14
"Lavera Oles",organic,13
"Retha Sears",organic,13
"Julia Behrman",twitter,13
"Carletta Kosinski",facebook,13
"Marquetta Laycock",adwords,13
"Georgianna Chisholm",twitter,13
"Lavera Oles",facebook,12
"Elba Felder",twitter,12
"Gianna Dossey",twitter,12
"Cliff Meints",twitter,12
"Sherlene Wetherington",adwords,12
"Earlie Schleusner",twitter,12
"Hilma Busick",twitter,12
"Dawna Agnew",banner,12
"Hilma Busick",banner,12
"Elwood Shutt",twitter,12
"Samuel Racine",facebook,11
"Samuel Racine",adwords,11
"Lavera Oles",adwords,11
"Elna Condello",twitter,11
"Renetta Carew",organic,11
"Debroah Wardle",twitter,11
"Carletta Kosinski",adwords,11
"Nelle Meaux",twitter,11
"Georgianna Chisholm",banner,11
"Marquetta Laycock",facebook,11
"Arica Stoltzfus",twitter,11
"Nakesha Renn",direct,10
"Samuel Racine",organic,10
"Michel Averette",twitter,10
"Gianna Dossey",banner,10
"Debroah Wardle",banner,10
"Renetta Carew",adwords,10
"Cordell Rieder",organic,10
"Sherlene Wetherington",twitter,10
"Delilah Krum",banner,10
"Calvin Ollison",banner,10
"Derrick Boggess",organic,10
"Soraya Fulton",facebook,10
"Soraya Fulton",organic,10
"Dawna Agnew",twitter,10
"Cara Clarke",adwords,9
"Ayesha Monica",twitter,9
"Julia Behrman",facebook,9
"Ayesha Monica",adwords,9
"Akilah Drinkard",facebook,9
"Akilah Drinkard",banner,9
"Julia Behrman",banner,9
"Sherlene Wetherington",organic,9
"Chau Rowles",facebook,9
"Kathleen Lalonde",organic,9
"Kathleen Lalonde",facebook,9
"Soraya Fulton",twitter,9
"Elwood Shutt",banner,9
"Necole Victory",banner,8
"Retha Sears",adwords,8
"Eugena Esser",twitter,8
"Cara Clarke",organic,8
"Sherlene Wetherington",banner,8
"Calvin Ollison",twitter,8
"Babette Soukup",facebook,8
"Babette Soukup",banner,8
"Soraya Fulton",adwords,8
"Brandie Riva",banner,8
"Samuel Racine",banner,7
"Ernestine Pickron",banner,7
"Eugena Esser",banner,7
"Sibyl Lauria",banner,7
"Ayesha Monica",banner,7
"Renetta Carew",twitter,7
"Cordell Rieder",adwords,7
"Derrick Boggess",twitter,7
"Babette Soukup",adwords,7
"Marquetta Laycock",twitter,7
"Necole Victory",organic,6
"Lavera Oles",banner,6
"Renetta Carew",banner,6
"Cliff Meints",banner,6
"Cordell Rieder",facebook,6
"Sherlene Wetherington",facebook,6
"Carletta Kosinski",banner,6
"Necole Victory",twitter,5
"Akilah Drinkard",adwords,5
"Cara Clarke",banner,5
"Chau Rowles",twitter,5
"Julie Starr",banner,5
"Soraya Fulton",banner,5
"Lavera Oles",twitter,4
"Retha Sears",facebook,4
"Chau Rowles",banner,4
"Carletta Kosinski",twitter,4
"Marquetta Laycock",banner,4
"Elba Felder",banner,3
"Retha Sears",twitter,3
"Cara Clarke",facebook,3
"Ernestine Pickron",twitter,3
"Chau Rowles",organic,3
"Chau Rowles",adwords,3
"Julie Starr",facebook,3
"Cordell Rieder",banner,3
"Julie Starr",adwords,3
"Derrick Boggess",banner,3
"Babette Soukup",twitter,3
"Samuel Racine",twitter,2
"Silvana Virden",adwords,2
"Silvana Virden",twitter,2
"Silvana Virden",banner,2
"Nakesha Renn",banner,2
"Shawanda Selke",adwords,2
"Retha Sears",banner,2
"Akilah Drinkard",twitter,2
"Julie Starr",organic,2
"Kathleen Lalonde",adwords,2
"Cordell Rieder",twitter,2
"Kathleen Lalonde",twitter,2
"Babette Soukup",organic,2
"Shawanda Selke",facebook,1
"Nakesha Renn",facebook,1
"Nakesha Renn",organic,1
"Nakesha Renn",twitter,1
"Shawanda Selke",banner,1
"Cara Clarke",twitter,1
"Shawanda Selke",organic,1
"Kathleen Lalonde",banner,1
